calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Plaza Altisidora;Altisidora;Altisidora;;2;Female;-;-
Plaza de Isabel la Católica;Isabel la Católica;Isabel;la;2;Female;-;-;https://es.wikipedia.org/wiki/Isabel_I_de_Castilla
Plaza de San Pedro;San Pedro;San;Pedro;-2;Male;-;-
Plaza de José María Labrador;José María Labrador;José;María;-2;Male;-;-
Plaza de la Soledad;Soledad;Soledad;;2;Female;-;-
Plaza del Tallista Miguel Hierro Barreda;Tallista Miguel Hierro Barreda;Tallista;Miguel;-2;Male;-;-
Plaza Sancho Panza;Sancho Panza;Sancho;Panza;-2;Male;-;-
Plaza Dulcinea;Dulcinea;Dulcinea;;2;Female;-;-;https://es.wikipedia.org/wiki/Dulcinea_del_Toboso
Plaza de Alonso Quijano;Alonso Quijano;Alonso;Quijano;-2;Male;-;-
Plaza de Teresa Panza;Teresa Panza;Teresa;Panza;2;Female;-;-
Plaza de Elio Antonio de Nebrija;Elio Antonio de Nebrija;Elio;Antonio;-2;Male;-;-
Plaza de Perlita de Huelva;Perlita de Huelva;Perlita;de;2;Female;-;-;https://es.wikipedia.org/wiki/Perlita_de_Huelva
Plaza de Eugenio Hermoso;Eugenio Hermoso;Eugenio;Hermoso;-2;Male;-;-
Plaza de Paco Toronjo;Paco Toronjo;Paco;Toronjo;-2;Male;-;-
Plaza de Cristóbal Quintero;Cristóbal Quintero;Cristóbal;Quintero;-2;Male;-;-
Plaza de Maruja Manrique;Maruja Manrique;Maruja;Manrique;2;Female;-;-
Plaza del Doctor José Arenas Ortiz;Doctor José Arenas Ortiz;Doctor;José;-2;Male;-;-
Plaza de la Misericordia;Misericordia;Misericordia;;2;Female;-;-
Plaza de las Adoratrices;Adoratrices;Adoratrices;;2;Female;-;-
Plaza de José María Morón;José María Morón;José;María;-2;Male;-;-
Plaza del Doctor Eloy Picón;Doctor Eloy Picón;Doctor;Eloy;-2;Male;-;-
Plaza del Lino;Lino;Lino;;-2;Male;-;-
Plaza del Alcalde Coto Mora;AlcalCoto Mora;AlcalCoto;Mora;2;Male;-;-;
Plaza de Don Miguel Raya;Don Miguel Raya;Don;Miguel;-2;Male;-;-
Plaza de Nuestra Señora de los Dolores;Nuestra Señora Dolores;Nuestra;Señora;2;Female;-;-
Plaza de Nuestra Señora del Rosario;Nuestra Señora del Rosario;Nuestra;Señora;2;Female;-;-
Plaza Monseñor José María Escrivá de Balaguer;Monseñor José María Escrivá Balaguer;Monseñor;José;-2;Male;-;-
Plaza Juan Pablo II;Juan Pablo II;Juan;Pablo;-2;Male;-;-
Plaza Santa Teresa de Jesús;Santa Teresa Jesús;Santa;Teresa;2;Female;-;-;https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs
Plaza Joaquín Bustamante;Joaquín Bustamante;Joaquín;Bustamante;-2;Male;-;-
Plaza Alejandro Malaspina;Alejandro Malaspina;Alejandro;Malaspina;-2;Male;-;-
Plaza Santiago Liniers;Santiago Liniers;Santiago;Liniers;-2;Male;-;-
Plaza Pascual Cervera;Pascual Cervera;Pascual;Cervera;-2;Male;-;-
Plaza Juan Bautista Antequera;Juan Bautista Antequera;Juan;Bautista;-2;Male;-;-
