calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Rosario;Rosario;Rosario;;2;female;historica;living_street;https://es.wikipedia.org/wiki/Rosario
Calle Blanca de los Ríos;Blanca de los Ríos;Blanca de los;Ríos;2;female;escritora;pedestrian;https://es.wikipedia.org/wiki/Blanca_de_los_Ríos
Calle Santa Vicenta María;Santa Vicenta María;Santa Vicenta;María;2;female;santa;living_street;https://es.wikipedia.org/wiki/Vicenta_María_López_y_Vicuña
Calle Virgen de la Presentación;Virgen de la Presentación;Virgen de la;Presentación;2;female;religiosa;living_street;https://es.wikipedia.org/wiki/Virgen_de_la_Presentación
Calle Doña Guiomar;Doña Guiomar;Doña;Guiomar;2;female;historica;living_street;
Calle Santa María de los Reyes;Santa María de los Reyes;Santa María de los;Reyes;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Santa_María_de_los_Reyes
Plaza Duquesa Cayetana de Alba;Duquesa Cayetana de Alba;Duquesa Cayetana de;Alba;2;female;historica;primary;https://es.wikipedia.org/wiki/Cayetana_Fitz-James_Stuart
Calle Fabiola;Fabiola;Fabiola;;2;female;santa;living_street;https://es.wikipedia.org/wiki/Fabiola
Calle Santa Teresa;Santa Teresa;Santa;Teresa;2;female;santa;pedestrian;https://es.wikipedia.org/wiki/Santa_Teresa
Calle Virgen de la Alegría;Virgen de la Alegría;Virgen de la;Alegría;2;female;religiosa;living_street;https://es.wikipedia.org/wiki/Virgen_de_la_galería
Calle Doña María Coronel;Doña María Coronel;Doña María;Coronel;2;female;religiosa;residential;
Calle Santa Ángela de la Cruz;Santa Ángela de la Cruz;Santa Ángela de la;Cruz;2;female;santa;residential;https://es.wikipedia.org/wiki/Ángela_de_la_Cruz
Calle de Doña Berenguela;de Doña Berenguela;de Doña;Berenguela;2;female;historica;residential;https://es.wikipedia.org/wiki/Berenguela_I_de_Castilla
Calle Santa Catalina;Santa Catalina;Santa;Catalina;2;female;santa;residential;https://es.wikipedia.org/wiki/Santa_Catalina
Calle Santa Bárbara;Santa Bárbara;Santa;Bárbara;2;female;santa;living_street;https://es.wikipedia.org/wiki/Santa_Bárbara
Calle Leonor Dávalos;Leonor Dávalos;Leonor;Dávalos;2;female;historica;pedestrian;
Calle Urraca Osorio;Urraca Osorio;Urraca;Osorio;2;female;historica;pedestrian;
Calle Santa Rufina;Santa Rufina;Santa;Rufina;2;female;santa;living_street;https://es.wikipedia.org/wiki/Santa_Rufina
Calle Antonia Sáenz;Antonia Sáenz;Antonia;Sáenz;2;female;historica;living_street;
Calle Virgen del Carmen Dolorosa;Virgen del Carmen Dolorosa;Virgen del Carmen;Dolorosa;2;female;religiosa;pedestrian;
Eustaquia Barrón;Eustaquia Barrón;Eustaquia;Barrón;2;female;historica;living_street;
Plaza Alcaldesa Soledad Becerril;Alcaldesa Soledad Becerril;Alcaldesa Soledad;Becerril;2;female;politica;tertiary;https://es.wikipedia.org/wiki/Soledad_Becerril
Calle Virgen de la Sierra;Virgen de la Sierra;Virgen de la;Sierra;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Virgen_de_la_Sierra
Calle Abogada Aurora León;Abogada Aurora León;Abogada Aurora;León;2;female;politica;residential;
Calle Santa Clara;Santa Clara;Santa;Clara;2;female;santa;living_street;https://es.wikipedia.org/wiki/Santa_Clara
Calle Doña María de Padilla;Doña María de Padilla;Doña María de;Padilla;2;female;historica;residential;https://es.wikipedia.org/wiki/María_de_Padilla
Glorieta Doña María de las Mercedes de Borbón y Orleans;Glorieta Doña María de las Mercedes de Borbón y Orleans;Glorieta Doña María de las Mercedes de Borbón y;Orleans;2;female;historica;primary;https://es.wikipedia.org/wiki/Mercedes_de_Orleáns
Calle Santa Juana Jugan;Santa Juana Jugan;Santa Juana;Jugan;2;female;santa;secondary;https://es.wikipedia.org/wiki/Juana_Jugan
Avenida de la Reina Mercedes;de la Reina Mercedes;de la Reina;Mercedes;2;female;historica;residential;https://es.wikipedia.org/wiki/Mercedes_de_Orleáns
Calle Sor Francisca Dorotea;Sor Francisca Dorotea;Sor Francisca;Dorotea;2;female;religiosa;primary;
Calle Virgen de la Guía;Virgen de la Guía;Virgen de la;Guía;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Virgen_de_la_Granada_(advocación)
Ronda Nuestra Señora de la Oliva;Ronda Nuestra Señora de la Oliva;Ronda Nuestra Señora de la;Oliva;2;female;religiosa;residential;
Calle Virgen de los Buenos Libros;Virgen de los Buenos Libros;Virgen de los Buenos;Libros;2;female;religiosa;residential;
Calle Mamá Margarita;Mamá Margarita;Mamá;Margarita;2;female;religiosa;residential;
Calle María Moliner;María Moliner;María;Moliner;2;female;cientifica;residential;https://es.wikipedia.org/wiki/María_Moliner
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;female;santa;residential;
Calle Santa Paula;Santa Paula;Santa;Paula;2;female;santa;living_street;
Calle Amalia Torrijos;Amalia Torrijos;Amalia;Torrijos;2;female;politica;residential;
Calle Ana Orantes;Ana Orantes;Ana;Orantes;2;female;historica;living_street;https://es.wikipedia.org/wiki/Ana_Orantes
Calle Estrellita Castro;Estrellita Castro;Estrellita;Castro;2;female;artista;living_street;https://es.wikipedia.org/wiki/Estrellita_Castro
Calle Antonia Díaz;Antonia Díaz;Antonia;Díaz;2;female;escritora;residential;
Calle Susona;Susona;Susona;;2;female;historica;pedestrian;https://es.wikipedia.org/wiki/Susona_de_Susón
Paseo de Catalina de Ribera;de Catalina de Ribera;de Catalina de;Ribera;2;female;historica;pedestrian;https://es.wikipedia.org/wiki/Catalina_de_Ribera
Calle Madre de Dios;Madre de Dios;Madre de;Dios;2;female;religiosa;living_street;https://es.wikipedia.org/wiki/Madre_de_Dios
